Model,CV_accuracy,CV_accuracy_std,CV_precision,CV_precision_std,CV_recall,CV_recall_std,CV_f1,CV_f1_std,CV_specificity,CV_specificity_std,CV_auc,CV_auc_std,CV_tp,CV_tp_std,CV_tn,CV_tn_std,CV_fp,CV_fp_std,CV_fn,CV_fn_std,Test_accuracy,Test_precision,Test_recall,Test_f1,Test_specificity,Test_auc,Test_tp,Test_tn,Test_fp,Test_fn
Logistic Regression,0.8087500000000001,0.021905732380158183,0.7306441690362501,0.06368084401742873,0.5929422418077234,0.021313068888483593,0.6528850975874221,0.025873225492044585,0.9034516554327702,0.02925358175736645,0.867617574601157,0.023258126501106216,86.0,3.3466401061363023,302.2,11.634431657799189,32.4,10.091580649234292,59.4,7.605261336732617,0.7966666666666666,0.6758620689655173,0.5664739884393064,0.6163522012578617,0.8899297423887588,0.8610415453967072,98,380,47,75
Random Forest,0.7933333333333333,0.01745032632614326,0.7281778868912145,0.04197177757088482,0.5118158787554127,0.04016815278112758,0.5994879705926636,0.028949854138212716,0.9164121792084963,0.01703500602030087,0.8474300505161407,0.022286382488342305,74.2,4.308131845707604,306.6,7.863841300534999,28.0,5.932958789676531,71.2,8.818163074019441,0.795,0.7192982456140351,0.47398843930635837,0.5714285714285715,0.9250585480093677,0.8488581446034317,82,395,32,91
Gradient Boosting,0.7670833333333332,0.015723301886761003,0.709953572853275,0.050714963067359474,0.40867199467199467,0.1078697632375115,0.505146891221803,0.09312859870894498,0.9220374577200092,0.02973777486968235,0.7915935939621677,0.0214415867299307,59.6,16.107141273360707,308.6,13.45511055324333,26.0,9.838699100999074,85.8,14.579437574886077,0.7766666666666666,0.6822429906542056,0.42196531791907516,0.5214285714285714,0.9203747072599532,0.781267344424737,73,393,34,100
