,Lead,Arsenic,Cadmium,Mercury,Manganese
Lead,1.0,0.3770491803278688,0.4745762711864407,0.3,0.29508196721311475
Arsenic,0.3770491803278688,1.0,0.35,0.2,0.25862068965517243
Cadmium,0.4745762711864407,0.35,1.0,0.29310344827586204,0.288135593220339
Mercury,0.3,0.2,0.29310344827586204,1.0,0.19642857142857142
Manganese,0.29508196721311475,0.25862068965517243,0.288135593220339,0.19642857142857142,1.0
